Trigger level set at [mV], -0.030
C1_t[ns],C1_V[mV],C2_t[ns],C2_V[mV],C3_t[ns],C3_V[mV],C4_t[ns],C4_V[mV]
144.531,  -10.1,144.531,   -9.4,144.531,   -4.8,144.531,   -3.0
144.727,   -9.6,144.727,  -11.0,144.727,   -0.7,144.727,   -2.4
144.922,   -8.1,144.922,   -8.6,144.922,    1.0,144.922,    0.2
145.117,   -8.5,145.117,   -9.3,145.117,   -2.2,145.117,   -3.3
145.312,   -7.5,145.312,   -8.4,145.312,   -2.5,145.312,   -2.1
145.508,   -7.7,145.508,  -10.1,145.508,   -5.7,145.508,   -6.9
145.703,   -8.7,145.703,   -9.1,145.703,   -3.5,145.703,   -5.5
145.898,  -10.1,145.898,  -11.8,145.898,   -7.0,145.898,   -6.6
146.094,  -10.4,146.094,  -10.5,146.094,   -4.7,146.094,   -5.3
146.289,   -9.5,146.289,  -11.4,146.289,   -5.3,146.289,   -6.2
146.484,   -9.0,146.484,  -11.2,146.484,   -3.9,146.484,   -4.4
146.680,   -9.0,146.680,  -10.9,146.680,   -3.4,146.680,   -3.9
146.875,   -8.1,146.875,   -9.3,146.875,   -0.5,146.875,   -0.5
147.070,   -8.6,147.070,  -10.5,147.070,   -1.9,147.070,   -2.2
147.266,   -7.7,147.266,   -7.7,147.266,    0.2,147.266,    0.1
147.461,   -8.8,147.461,  -11.6,147.461,   -1.2,147.461,   -2.1
147.656,   -7.3,147.656,   -8.8,147.656,    1.7,147.656,   -0.5
147.852,   -7.1,147.852,   -9.6,147.852,    1.3,147.852,    0.4
148.047,   -6.5,148.047,   -7.0,148.047,    4.8,148.047,    2.7
148.242,   -6.5,148.242,   -8.6,148.242,    2.9,148.242,    3.3
148.438,   -5.3,148.438,   -6.3,148.438,    5.3,148.438,    4.7
148.633,   -5.4,148.633,   -8.0,148.633,    2.3,148.633,    1.0
148.828,   -6.2,148.828,   -7.2,148.828,    3.2,148.828,    4.0
149.023,   -7.6,149.023,  -10.1,149.023,    1.2,149.023,    0.4
149.219,   -7.4,149.219,   -8.8,149.219,    2.7,149.219,    2.1
149.414,   -8.7,149.414,  -10.9,149.414,   -2.1,149.414,   -2.0
149.609,   -7.8,149.609,   -8.0,149.609,   -1.0,149.609,   -0.8
149.805,   -8.5,149.805,  -10.5,149.805,   -4.9,149.805,   -4.8
150.000,   -7.3,150.000,   -7.7,150.000,   -2.9,150.000,   -2.5
150.195,   -7.1,150.195,   -9.4,150.195,   -5.4,150.195,   -5.4
150.391,   -5.1,150.391,   -6.6,150.391,   -2.3,150.391,   -3.5
150.586,   -5.0,150.586,   -7.4,150.586,   -2.6,150.586,   -3.0
150.781,   -4.7,150.781,   -6.0,150.781,    0.8,150.781,    0.3
150.977,   -4.9,150.977,   -7.2,150.977,    0.5,150.977,    1.5
151.172,   -5.6,151.172,   -6.3,151.172,    2.0,151.172,    3.2
151.367,   -6.2,151.367,   -8.2,151.367,    2.5,151.367,    2.3
151.562,   -5.4,151.562,   -6.8,151.562,    5.5,151.562,    4.3
151.758,   -7.0,151.758,   -9.7,151.758,    4.4,151.758,    3.6
151.953,   -7.2,151.953,   -7.8,151.953,    7.3,151.953,    6.0
152.148,   -6.3,152.148,   -8.2,152.148,    5.5,152.148,    4.7
152.344,   -6.6,152.344,   -6.5,152.344,    6.5,152.344,    6.4
152.539,   -6.2,152.539,   -8.5,152.539,    2.5,152.539,    2.8
152.734,   -5.7,152.734,   -7.9,152.734,    3.3,152.734,    2.5
152.930,   -6.7,152.930,  -10.4,152.930,   -0.3,152.930,   -0.2
153.125,   -5.8,153.125,   -8.4,153.125,    2.9,153.125,    1.7
153.320,   -7.0,153.320,   -9.1,153.320,    0.5,153.320,   -1.6
153.516,   -6.8,153.516,   -6.3,153.516,    1.8,153.516,    1.4
153.711,   -5.2,153.711,   -6.7,153.711,    1.9,153.711,    1.0
153.906,   -4.5,153.906,   -5.2,153.906,    2.6,153.906,    3.0
154.102,   -5.5,154.102,   -6.8,154.102,    1.1,154.102,    1.0
154.297,   -4.0,154.297,   -5.1,154.297,    3.7,154.297,    3.8
154.492,   -5.5,154.492,   -9.0,154.492,    1.5,154.492,    2.0
154.688,   -5.9,154.688,   -7.4,154.688,    4.4,154.688,    3.0
154.883,   -7.4,154.883,   -9.7,154.883,    2.8,154.883,    2.1
155.078,   -9.0,155.078,   -8.9,155.078,    5.0,155.078,    2.6
155.273,   -8.5,155.273,  -10.4,155.273,    4.0,155.273,    1.9
155.469,   -7.0,155.469,   -8.6,155.469,    3.9,155.469,    3.6
155.664,   -7.3,155.664,   -9.6,155.664,    2.0,155.664,    0.0
155.859,   -6.3,155.859,   -7.1,155.859,    4.5,155.859,    3.8
156.055,   -8.8,156.055,   -9.2,156.055,    3.3,156.055,    3.4
156.250,   -5.8,156.250,   -6.0,156.250,    5.4,156.250,    6.9
156.445,   -5.0,156.445,   -6.8,156.445,    4.9,156.445,    4.9
156.641,   -3.8,156.641,   -5.0,156.641,    6.0,156.641,    7.2
156.836,   -3.9,156.836,   -6.4,156.836,    1.2,156.836,    1.6
157.031,   -3.3,157.031,   -4.9,157.031,    2.8,157.031,    3.6
157.227,   -3.7,157.227,   -6.1,157.227,   -0.2,157.227,   -0.5
157.422,   -4.2,157.422,   -4.4,157.422,    2.4,157.422,    1.9
157.617,   -4.1,157.617,   -6.5,157.617,    1.5,157.617,    0.7
157.812,   -2.3,157.812,   -3.6,157.812,    3.6,157.812,    1.7
158.008,   -3.9,158.008,   -6.1,158.008,    0.0,158.008,   -0.8
158.203,   -4.7,158.203,   -5.1,158.203,    3.3,158.203,    2.0
158.398,   -5.6,158.398,   -6.7,158.398,    1.3,158.398,    0.2
158.594,   -4.8,158.594,   -5.0,158.594,    3.9,158.594,    3.8
158.789,   -3.8,158.789,   -6.4,158.789,    4.1,158.789,    2.6
158.984,   -3.2,158.984,   -4.5,158.984,    6.3,158.984,    4.8
159.180,   -3.4,159.180,   -5.9,159.180,    3.8,159.180,    2.2
159.375,   -3.7,159.375,   -4.0,159.375,    6.8,159.375,    7.3
159.570,   -3.1,159.570,   -4.8,159.570,    4.6,159.570,    4.1
159.766,   -2.4,159.766,   -3.9,159.766,    7.3,159.766,    6.5
159.961,   -2.8,159.961,   -5.4,159.961,    7.2,159.961,    6.1
160.156,   -2.6,160.156,   -4.3,160.156,    8.9,160.156,    7.6
160.352,   -3.8,160.352,   -6.9,160.352,    7.4,160.352,    6.9
160.547,   -3.6,160.547,   -4.7,160.547,   10.0,160.547,    9.6
160.742,   -4.6,160.742,   -6.4,160.742,    8.4,160.742,    7.8
160.938,   -4.0,160.938,   -5.1,160.938,   10.9,160.938,   11.3
161.133,   -3.0,161.133,   -4.7,161.133,   10.2,161.133,    8.8
161.328,   -2.5,161.328,   -2.8,161.328,   10.7,161.328,   11.1
161.523,   -4.8,161.523,   -6.2,161.523,    6.7,161.523,    5.9
161.719,   -4.1,161.719,   -4.7,161.719,    9.3,161.719,    8.1
161.914,   -5.5,161.914,   -7.1,161.914,    6.5,161.914,    5.7
162.109,   -4.4,162.109,   -4.8,162.109,    9.6,162.109,    7.1
162.305,   -5.7,162.305,   -6.9,162.305,    8.3,162.305,    6.8
162.500,   -4.8,162.500,   -5.2,162.500,   11.1,162.500,    9.9
162.695,   -3.9,162.695,   -5.3,162.695,    9.8,162.695,    9.5
162.891,   -4.0,162.891,   -4.6,162.891,   11.9,162.891,   11.4
163.086,   -2.9,163.086,   -5.0,163.086,    9.6,163.086,    9.6
163.281,   -2.3,163.281,   -3.1,163.281,   10.7,163.281,   10.9
163.477,   -2.2,163.477,   -4.2,163.477,    6.3,163.477,    6.3
163.672,   -2.8,163.672,   -4.9,163.672,    6.2,163.672,    6.4
163.867,   -2.5,163.867,   -4.1,163.867,    1.9,163.867,    2.5
164.062,   -2.0,164.062,   -1.6,164.062,    2.7,164.062,    2.5
164.258,   -0.1,164.258,   -2.0,164.258,   -1.2,164.258,   -0.5
164.453,   -1.8,164.453,   -1.9,164.453,    0.7,164.453,    0.8
164.648,   -2.8,164.648,   -4.7,164.648,   -0.4,164.648,   -1.9
164.844,   -3.0,164.844,   -3.9,164.844,    1.7,164.844,    0.9
165.039,   -4.9,165.039,   -7.3,165.039,    0.0,165.039,   -0.2
165.234,   -4.1,165.234,   -5.6,165.234,    3.0,165.234,    2.9
165.430,   -5.0,165.430,   -8.8,165.430,    0.3,165.430,    0.4
165.625,   -4.6,165.625,   -6.4,165.625,    2.7,165.625,    2.8
165.820,   -3.8,165.820,   -6.9,165.820,    0.1,165.820,    0.3
166.016,   -3.8,166.016,   -4.2,166.016,    3.7,166.016,    2.7
166.211,   -3.6,166.211,   -5.1,166.211,    2.7,166.211,    2.5
166.406,   -2.6,166.406,   -2.4,166.406,    6.9,166.406,    5.5
166.602,   -2.9,166.602,   -3.6,166.602,    4.5,166.602,    2.2
166.797,   -1.5,166.797,   -3.5,166.797,    8.8,166.797,    6.5
166.992,   -3.0,166.992,   -5.4,166.992,    6.9,166.992,    5.1
167.188,   -4.2,167.188,   -5.5,167.188,    8.1,167.188,    6.8
167.383,   -3.7,167.383,   -5.2,167.383,    7.5,167.383,    5.3
167.578,   -4.0,167.578,   -3.8,167.578,    9.4,167.578,    8.4
167.773,   -4.4,167.773,   -9.1,167.773,    7.1,167.773,    8.3
167.969,   -2.6,167.969,   -3.8,167.969,    9.5,167.969,    9.8
168.164,   -3.2,168.164,   -6.3,168.164,    7.8,168.164,    7.6
168.359,   -3.1,168.359,   -4.1,168.359,   10.2,168.359,   12.1
168.555,   -4.0,168.555,   -4.7,168.555,    7.8,168.555,    8.5
168.750,   -2.8,168.750,   -2.4,168.750,    9.9,168.750,   10.6
168.945,   -1.5,168.945,   -2.6,168.945,    7.7,168.945,    7.3
169.141,    0.5,169.141,   -0.5,169.141,    9.8,169.141,   10.3
169.336,   -0.9,169.336,   -4.5,169.336,    9.5,169.336,    7.9
169.531,   -0.8,169.531,   -2.4,169.531,   12.9,169.531,   11.3
169.727,   -3.2,169.727,   -5.6,169.727,   11.7,169.727,   10.6
169.922,   -3.4,169.922,   -4.3,169.922,   13.4,169.922,   11.8
170.117,   -4.1,170.117,   -6.5,170.117,    7.9,170.117,    7.4
170.312,   -3.9,170.312,   -4.7,170.312,    9.0,170.312,    7.5
170.508,   -4.4,170.508,   -6.0,170.508,    3.3,170.508,    2.5
170.703,   -4.1,170.703,   -4.2,170.703,    4.2,170.703,    5.8
170.898,   -3.4,170.898,   -5.9,170.898,    3.4,170.898,    3.2
171.094,   -3.3,171.094,   -4.3,171.094,    5.7,171.094,    5.2
171.289,   -2.9,171.289,   -5.4,171.289,    4.0,171.289,    3.3
171.484,   -3.1,171.484,   -3.9,171.484,    5.5,171.484,    3.7
171.680,   -3.7,171.680,   -5.5,171.680,    3.8,171.680,    2.0
171.875,   -2.2,171.875,   -2.8,171.875,    5.9,171.875,    5.1
172.070,   -1.4,172.070,   -3.9,172.070,    4.6,172.070,    4.7
172.266,   -1.7,172.266,   -3.3,172.266,    7.7,172.266,    7.1
172.461,   -1.6,172.461,   -5.0,172.461,    6.8,172.461,    5.5
172.656,   -1.1,172.656,   -2.9,172.656,    8.6,172.656,    8.9
172.852,   -2.3,172.852,   -3.9,172.852,    6.1,172.852,    5.3
173.047,   -0.7,173.047,   -2.6,173.047,    8.8,173.047,    8.5
173.242,   -1.9,173.242,   -3.9,173.242,    7.7,173.242,    4.7
173.438,   -1.1,173.438,   -3.2,173.438,    9.8,173.438,    8.4
173.633,   -2.7,173.633,   -5.1,173.633,    8.2,173.633,    7.9
173.828,   -2.3,173.828,   -2.8,173.828,   10.6,173.828,   10.4
174.023,   -2.6,174.023,   -5.0,174.023,   10.3,174.023,    9.6
174.219,   -2.2,174.219,   -3.2,174.219,   12.5,174.219,   12.7
174.414,   -2.5,174.414,   -5.4,174.414,   10.5,174.414,   10.2
174.609,   -2.0,174.609,   -3.3,174.609,   12.2,174.609,   13.1
174.805,   -3.1,174.805,   -4.4,174.805,    9.3,174.805,    9.7
175.000,   -1.3,175.000,   -2.0,175.000,   11.3,175.000,   11.3
175.195,   -1.3,175.195,   -3.8,175.195,    9.9,175.195,   10.2
175.391,   -1.2,175.391,   -1.2,175.391,   12.1,175.391,   12.8
175.586,    0.0,175.586,   -2.3,175.586,   10.9,175.586,   10.7
175.781,    0.8,175.781,   -0.8,175.781,   14.0,175.781,   13.8
175.977,   -0.5,175.977,   -1.9,175.977,   11.9,175.977,   10.5
176.172,   -0.5,176.172,   -1.2,176.172,   13.5,176.172,   11.4
176.367,   -2.1,176.367,   -4.0,176.367,    9.1,176.367,    8.1
176.562,   -3.4,176.562,   -3.4,176.562,   10.2,176.562,    8.8
176.758,   -2.5,176.758,   -4.2,176.758,    8.3,176.758,    6.2
176.953,   -3.4,176.953,   -3.3,176.953,    9.8,176.953,    8.6
177.148,   -2.1,177.148,   -4.5,177.148,    7.3,177.148,    6.1
177.344,   -1.2,177.344,   -2.3,177.344,   10.0,177.344,    8.5
177.539,   -1.5,177.539,   -3.8,177.539,    5.3,177.539,    5.5
177.734,   -1.1,177.734,   -1.2,177.734,    7.8,177.734,    8.3
177.930,   -1.4,177.930,   -2.0,177.930,    5.3,177.930,    7.0
178.125,   -0.8,178.125,   -0.4,178.125,    7.5,178.125,    8.6
178.320,   -0.8,178.320,   -2.2,178.320,    4.2,178.320,    4.3
178.516,   -0.8,178.516,   -1.0,178.516,    5.2,178.516,    6.0
178.711,   -0.2,178.711,   -2.0,178.711,    4.4,178.711,    3.2
178.906,    0.3,178.906,   -1.3,178.906,    6.4,178.906,    5.8
179.102,   -0.5,179.102,   -3.4,179.102,    5.7,179.102,    6.0
179.297,   -0.9,179.297,   -1.4,179.297,    7.8,179.297,    8.2
179.492,   -0.2,179.492,   -3.4,179.492,    5.8,179.492,    6.0
179.688,    0.5,179.688,   -1.5,179.688,    6.9,179.688,    6.9
179.883,    0.7,179.883,   -2.6,179.883,    0.9,179.883,    1.5
180.078,   -1.4,180.078,   -2.9,180.078,    1.1,180.078,   -0.3
180.273,   -3.7,180.273,   -5.3,180.273,   -2.6,180.273,   -4.3
180.469,   -2.4,180.469,   -3.0,180.469,   -2.0,180.469,   -1.7
180.664,   -2.2,180.664,   -4.1,180.664,   -2.8,180.664,   -4.9
180.859,   -1.5,180.859,   -2.2,180.859,   -0.3,180.859,   -0.4
181.055,   -2.0,181.055,   -4.2,181.055,   -0.6,181.055,   -1.5
181.250,   -0.7,181.250,   -2.5,181.250,    1.9,181.250,    1.6
181.445,   -1.3,181.445,   -3.7,181.445,    2.2,181.445,    1.3
181.641,   -0.1,181.641,   -0.7,181.641,    4.8,181.641,    4.9
181.836,   -0.1,181.836,   -1.4,181.836,    4.4,181.836,    4.6
182.031,    0.9,182.031,    1.7,182.031,    6.6,182.031,    6.8
182.227,    1.6,182.227,    1.2,182.227,    6.2,182.227,    5.1
182.422,    0.1,182.422,    1.0,182.422,    6.0,182.422,    6.4
182.617,    0.2,182.617,    0.0,182.617,    4.7,182.617,    3.3
182.812,    1.5,182.812,    0.0,182.812,    4.3,182.812,    2.6
183.008,    1.6,183.008,   -0.4,183.008,    1.6,183.008,    0.6
183.203,    1.1,183.203,   -0.7,183.203,    3.6,183.203,    1.8
183.398,   -1.4,183.398,   -3.9,183.398,    1.6,183.398,    1.2
183.594,   -1.8,183.594,   -2.5,183.594,    4.1,183.594,    2.4
183.789,   -2.3,183.789,   -5.8,183.789,    3.5,183.789,    1.5
183.984,   -3.3,183.984,   -4.1,183.984,    5.3,183.984,    4.4
184.180,   -4.2,184.180,   -6.0,184.180,    4.1,184.180,    3.0
184.375,   -3.4,184.375,   -4.0,184.375,    7.0,184.375,    6.6
184.570,   -2.2,184.570,   -5.2,184.570,    5.0,184.570,    4.2
184.766,   -1.6,184.766,   -2.9,184.766,    8.5,184.766,    7.4
184.961,   -1.8,184.961,   -4.4,184.961,    6.3,184.961,    6.4
185.156,   -0.3,185.156,   -0.9,185.156,    9.8,185.156,    9.2
185.352,    0.4,185.352,   -1.9,185.352,    7.0,185.352,    6.1
185.547,   -0.5,185.547,   -0.6,185.547,    9.1,185.547,    8.7
185.742,   -2.4,185.742,   -4.5,185.742,    4.4,185.742,    5.4
185.938,   -1.0,185.938,   -2.5,185.938,    6.9,185.938,    5.8
186.133,   -1.8,186.133,   -4.7,186.133,    0.3,186.133,   -0.7
186.328,   -3.2,186.328,   -4.2,186.328,   -0.3,186.328,    0.0
186.523,   -3.9,186.523,   -5.3,186.523,   -3.9,186.523,   -4.5
186.719,   -3.4,186.719,   -4.1,186.719,   -2.0,186.719,   -3.2
186.914,   -4.8,186.914,   -5.6,186.914,   -4.5,186.914,   -3.6
187.109,   -4.4,187.109,   -5.2,187.109,   -1.7,187.109,   -2.1
187.305,   -6.1,187.305,   -8.1,187.305,   -4.8,187.305,   -4.9
187.500,   -4.2,187.500,   -5.3,187.500,   -2.6,187.500,   -3.0
187.695,   -3.5,187.695,   -6.3,187.695,   -3.1,187.695,   -5.6
187.891,   -2.5,187.891,   -2.5,187.891,   -0.1,187.891,   -0.4
188.086,   -1.9,188.086,   -3.1,188.086,   -0.8,188.086,   -0.8
188.281,   -1.8,188.281,   -2.1,188.281,    0.4,188.281,    1.5
188.477,   -0.5,188.477,   -1.8,188.477,    0.5,188.477,   -0.1
188.672,   -0.3,188.672,   -1.8,188.672,    1.9,188.672,    2.0
188.867,   -0.6,188.867,   -3.5,188.867,   -1.0,188.867,   -1.4
189.062,   -0.2,189.062,   -1.6,189.062,    0.5,189.062,   -0.1
189.258,   -0.2,189.258,   -3.2,189.258,   -2.2,189.258,   -2.7
189.453,   -1.0,189.453,   -1.4,189.453,    0.5,189.453,    0.7
189.648,   -3.2,189.648,   -4.4,189.648,   -0.5,189.648,   -1.9
189.844,   -2.1,189.844,   -2.6,189.844,    1.9,189.844,    2.4
190.039,   -4.3,190.039,   -7.0,190.039,    0.5,190.039,    0.2
190.234,   -2.9,190.234,   -4.4,190.234,    3.7,190.234,    2.6
190.430,   -4.3,190.430,   -6.4,190.430,    2.2,190.430,    1.3
190.625,   -3.7,190.625,   -3.8,190.625,    3.4,190.625,    2.8
190.820,   -1.8,190.820,   -5.3,190.820,    2.4,190.820,    2.0
191.016,   -2.5,191.016,   -3.2,191.016,    3.5,191.016,    4.2
191.211,   -2.5,191.211,   -5.2,191.211,    0.5,191.211,    0.6
191.406,   -0.7,191.406,   -2.5,191.406,    2.5,191.406,    2.3
191.602,   -1.3,191.602,   -3.2,191.602,    0.3,191.602,   -1.0
191.797,   -0.5,191.797,   -1.0,191.797,    3.2,191.797,    1.3
191.992,   -0.4,191.992,   -2.1,191.992,    2.6,191.992,    2.2
192.188,    0.0,192.188,   -1.1,192.188,    5.6,192.188,    4.3
192.383,   -0.8,192.383,   -2.3,192.383,    3.3,192.383,    2.8
192.578,   -1.4,192.578,   -2.4,192.578,    3.7,192.578,    4.4
192.773,   -2.7,192.773,   -4.6,192.773,    0.5,192.773,    0.2
192.969,   -2.7,192.969,   -3.6,192.969,    2.5,192.969,    1.6
193.164,   -4.3,193.164,   -5.3,193.164,   -1.1,193.164,   -1.6
193.359,   -4.1,193.359,   -3.9,193.359,    1.6,193.359,    1.0
193.555,   -4.0,193.555,   -4.6,193.555,   -0.6,193.555,   -0.5
193.750,   -1.9,193.750,   -2.1,193.750,    3.2,193.750,    2.5
193.945,   -2.7,193.945,   -3.5,193.945,   -1.5,193.945,   -1.4
194.141,   -2.1,194.141,   -1.1,194.141,    1.8,194.141,    0.7
194.336,    0.4,194.336,   -1.7,194.336,   -0.6,194.336,   -2.1
194.531,    1.1,194.531,   -0.2,194.531,    1.9,194.531,    1.1
194.727,    0.1,194.727,   -1.9,194.727,   -0.5,194.727,   -2.3
194.922,    0.0,194.922,   -1.1,194.922,    2.4,194.922,    1.3
195.117,    0.5,195.117,   -0.6,195.117,    1.5,195.117,    1.9
195.312,    2.3,195.312,    1.2,195.312,    5.6,195.312,    5.3
195.508,    1.9,195.508,    0.2,195.508,    3.4,195.508,    2.0
195.703,    1.5,195.703,    1.4,195.703,    6.0,195.703,    5.9
195.898,    0.0,195.898,   -2.3,195.898,    3.5,195.898,    2.7
196.094,    0.9,196.094,   -0.3,196.094,    5.8,196.094,    4.1
196.289,    1.3,196.289,   -2.0,196.289,    3.9,196.289,    3.3
196.484,   -1.5,196.484,   -2.0,196.484,    6.4,196.484,    5.8
196.680,   -0.9,196.680,   -3.5,196.680,    5.6,196.680,    4.7
196.875,   -1.0,196.875,   -2.2,196.875,    7.5,196.875,    7.3
197.070,   -1.0,197.070,   -3.2,197.070,    5.3,197.070,    6.0
197.266,   -0.7,197.266,   -0.8,197.266,    7.9,197.266,    7.1
197.461,   -0.2,197.461,   -2.4,197.461,    6.5,197.461,    6.6
197.656,   -0.8,197.656,   -1.4,197.656,    9.5,197.656,    8.7
197.852,   -1.4,197.852,   -3.5,197.852,    7.3,197.852,    6.1
198.047,   -1.5,198.047,   -2.3,198.047,    9.7,198.047,    8.2
198.242,   -1.9,198.242,   -3.2,198.242,    7.0,198.242,    6.7
198.438,   -0.7,198.438,   -2.8,198.438,    8.5,198.438,    7.4
198.633,    0.0,198.633,   -1.9,198.633,    3.5,198.633,    3.3
198.828,   -0.8,198.828,   -0.6,198.828,    4.2,198.828,    2.1
199.023,   -1.1,199.023,   -3.2,199.023,   -1.1,199.023,   -1.1
199.219,    0.2,199.219,   -1.7,199.219,    1.2,199.219,    0.3
199.414,   -2.0,199.414,   -4.5,199.414,   -0.2,199.414,   -0.9
199.609,   -1.8,199.609,   -2.8,199.609,    3.3,199.609,    2.9
199.805,   -5.5,199.805,   -7.9,199.805,    3.1,199.805,    1.9
  0.000,   -4.8,  0.000,   -6.0,  0.000,   58.5,  0.000,   58.4
  0.195,   -1.9,  0.195,   -2.0,  0.195,   -3.0,  0.195,   -4.3
  0.391,    0.1,  0.391,   -2.7,  0.391,   -4.7,  0.391,   -5.6
  0.586,   -2.0,  0.586,   -3.2,  0.586,   -2.9,  0.586,   -3.6
  0.781,   -2.9,  0.781,   -5.6,  0.781,   -4.6,  0.781,   -6.6
  0.977,   -4.1,  0.977,   -4.2,  0.977,   -3.5,  0.977,   -4.1
  1.172,   -2.3,  1.172,   -4.4,  1.172,   -6.4,  1.172,   -7.7
  1.367,   -4.9,  1.367,   -3.5,  1.367,   -5.2,  1.367,   -6.0
  1.562,   -2.6,  1.562,   -4.2,  1.562,   -6.8,  1.562,   -8.6
  1.758,   -4.7,  1.758,   -5.9,  1.758,   -5.2,  1.758,   -6.3
  1.953,   -3.1,  1.953,   -5.5,  1.953,   -7.2,  1.953,   -7.9
  2.148,   -5.2,  2.148,   -5.8,  2.148,   -6.1,  2.148,   -7.0
  2.344,   -5.0,  2.344,   -6.7,  2.344,   -9.0,  2.344,   -9.7
  2.539,   -4.8,  2.539,   -5.1,  2.539,   -6.0,  2.539,   -6.8
  2.734,   -3.0,  2.734,   -4.3,  2.734,   -7.1,  2.734,   -8.2
  2.930,   -4.4,  2.930,   -5.1,  2.930,   -4.2,  2.930,   -5.5
  3.125,   -1.9,  3.125,   -4.9,  3.125,   -6.1,  3.125,   -6.1
  3.320,   -2.4,  3.320,   -3.6,  3.320,   -3.7,  3.320,   -3.8
  3.516,   -1.2,  3.516,   -3.4,  3.516,   -4.7,  3.516,   -5.5
  3.711,   -3.6,  3.711,   -3.8,  3.711,   -3.1,  3.711,   -3.6
  3.906,   -3.2,  3.906,   -5.6,  3.906,   -5.6,  3.906,   -6.4
  4.102,   -3.8,  4.102,   -5.3,  4.102,   -3.9,  4.102,   -3.9
  4.297,   -3.5,  4.297,   -6.3,  4.297,   -7.7,  4.297,   -8.3
  4.492,   -5.3,  4.492,   -5.8,  4.492,   -8.6,  4.492,   -8.6
  4.688,   -3.7,  4.688,   -6.2,  4.688,  -10.5,  4.688,  -11.2
  4.883,   -5.4,  4.883,   -6.6,  4.883,   -9.1,  4.883,  -10.7
  5.078,   -4.3,  5.078,   -8.0,  5.078,  -10.2,  5.078,  -12.4
  5.273,   -6.5,  5.273,   -7.2,  5.273,   -8.6,  5.273,   -9.8
  5.469,   -4.8,  5.469,   -7.4,  5.469,   -8.3,  5.469,   -8.2
  5.664,   -5.9,  5.664,   -6.1,  5.664,   -4.2,  5.664,   -5.5
  5.859,   -3.1,  5.859,   -5.5,  5.859,   -4.9,  5.859,   -5.0
  6.055,   -3.9,  6.055,   -5.5,  6.055,   -4.3,  6.055,   -3.2
  6.250,   -1.7,  6.250,   -4.3,  6.250,   -5.9,  6.250,   -4.7
  6.445,   -3.3,  6.445,   -4.6,  6.445,   -4.5,  6.445,   -4.1
  6.641,   -0.9,  6.641,   -3.2,  6.641,   -3.5,  6.641,   -5.5
  6.836,   -3.8,  6.836,   -4.0,  6.836,   -3.2,  6.836,   -4.8
  7.031,   -1.2,  7.031,   -2.8,  7.031,   -2.5,  7.031,   -5.3
  7.227,   -3.9,  7.227,   -4.2,  7.227,   -2.7,  7.227,   -3.7
  7.422,   -2.5,  7.422,   -4.6,  7.422,   -4.3,  7.422,   -5.8
  7.617,   -3.9,  7.617,   -4.8,  7.617,   -4.0,  7.617,   -4.7
  7.812,   -4.9,  7.812,   -7.4,  7.812,   -7.9,  7.812,   -8.6
  8.008,   -5.9,  8.008,   -7.8,  8.008,   -7.9,  8.008,   -7.3
  8.203,   -4.8,  8.203,   -6.7,  8.203,   -9.5,  8.203,  -10.1
  8.398,   -6.6,  8.398,   -5.9,  8.398,   -8.1,  8.398,   -7.8
  8.594,   -3.4,  8.594,   -5.4,  8.594,   -8.8,  8.594,   -7.7
  8.789,   -4.2,  8.789,   -3.6,  8.789,   -6.8,  8.789,   -6.6
  8.984,   -3.2,  8.984,   -5.4,  8.984,   -7.6,  8.984,   -8.7
  9.180,   -2.8,  9.180,   -4.8,  9.180,   -6.0,  9.180,   -6.0
  9.375,   -3.1,  9.375,   -5.8,  9.375,   -6.2,  9.375,   -7.1
  9.570,   -3.1,  9.570,   -3.2,  9.570,   -3.0,  9.570,   -4.3
  9.766,   -1.7,  9.766,   -4.9,  9.766,   -5.7,  9.766,   -6.7
  9.961,   -4.1,  9.961,   -5.3,  9.961,   -6.2,  9.961,   -5.7
 10.156,   -3.8, 10.156,   -6.4, 10.156,   -9.5, 10.156,   -9.8
 10.352,   -5.2, 10.352,   -6.0, 10.352,   -8.0, 10.352,   -8.4
 10.547,   -3.7, 10.547,   -4.8, 10.547,   -7.6, 10.547,   -9.3
 10.742,   -5.0, 10.742,   -4.8, 10.742,   -6.0, 10.742,   -6.4
 10.938,   -4.2, 10.938,   -7.4, 10.938,   -6.1, 10.938,   -7.8
 11.133,   -5.6, 11.133,   -6.8, 11.133,   -5.7, 11.133,   -6.6
 11.328,   -3.8, 11.328,   -7.5, 11.328,   -9.2, 11.328,   -8.0
 11.523,   -4.6, 11.523,   -6.3, 11.523,   -6.0, 11.523,   -6.8
 11.719,   -2.9, 11.719,   -6.5, 11.719,   -9.8, 11.719,   -9.6
 11.914,   -3.8, 11.914,   -3.7, 11.914,   -7.0, 11.914,   -6.6
 12.109,   -1.3, 12.109,   -3.6, 12.109,   -7.4, 12.109,   -7.5
 12.305,   -2.0, 12.305,   -3.0, 12.305,   -4.6, 12.305,   -5.5
 12.500,    0.9, 12.500,   -3.6, 12.500,   -5.8, 12.500,   -6.9
 12.695,   -1.6, 12.695,   -3.4, 12.695,   -4.0, 12.695,   -4.9
 12.891,   -0.4, 12.891,   -2.8, 12.891,   -5.0, 12.891,   -5.7
 13.086,   -3.3, 13.086,   -4.1, 13.086,   -5.7, 13.086,   -5.4
 13.281,   -1.4, 13.281,   -4.6, 13.281,   -6.7, 13.281,   -6.2
